price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,size,type,paint_color,state
10995,2012,audi,a5 quattro awd convertible,excellent,4 cylinders,gas,117000,clean,automatic,,convertible,black,me
22700,2018,dodge,challenger sxt plus coupe,good,6 cylinders,gas,21568,clean,other,,coupe,silver,al
15000,2003,chevrolet,corvette,excellent,8 cylinders,gas,39000,clean,automatic,,coupe,yellow,az
29995,2015,,Porsche Cayman,excellent,6 cylinders,gas,39000,clean,automatic,,coupe,grey,me
65000,2017,nissan,gt-r,,6 cylinders,gas,12557,clean,automatic,,coupe,orange,al
29990,2012,ford,mustang boss 302 coupe 2d,good,8 cylinders,gas,40555,clean,other,,coupe,white,al
3990,2008,honda,civic,like new,,gas,88965,clean,automatic,,coupe,,wi
2995,2005,chevrolet,cobalt,,4 cylinders,gas,0,clean,automatic,,coupe,silver,al
0,2014,cadillac,elr,,,electric,49333,clean,automatic,,coupe,silver,al
21590,2018,ford,mustang ecoboost coupe 2d,good,,gas,21380,clean,automatic,,coupe,blue,al
14500,2011,mercedes-benz,benz e350 convertible,excellent,6 cylinders,gas,93000,clean,automatic,,convertible,black,az
2750,2004,toyota,corolla s,fair,4 cylinders,gas,181000,clean,automatic,compact,coupe,grey,az
20900,2017,subaru,brz limited coupe 2d,good,,gas,42571,clean,other,,coupe,black,al
24000,2006,lexus,sc430,excellent,8 cylinders,gas,41000,clean,automatic,sub-compact,convertible,red,me
25888,2018,dodge,challenger r/t,excellent,6 cylinders,gas,2934,clean,automatic,mid-size,coupe,white,al
16888,2013,chevrolet,camaro ss,good,8 cylinders,gas,124418,clean,automatic,mid-size,coupe,yellow,al
19600,2015,chevrolet,camaro lt coupe 2d,good,6 cylinders,gas,22170,clean,automatic,,coupe,black,al
25990,2019,chevrolet,camaro lt coupe 2d,good,6 cylinders,gas,1576,clean,other,,coupe,black,al
28500,2015,dodge,challenger,,,gas,19057,clean,automatic,,coupe,blue,tx
4000,2002,bmw,325ci convertible,good,6 cylinders,gas,230536,clean,automatic,full-size,convertible,silver,al
17900,2015,bmw,4 series 428i coupe 2d,good,,gas,85152,clean,automatic,,coupe,blue,wi
2000,2006,bmw,325ci,fair,6 cylinders,gas,134589,clean,automatic,mid-size,coupe,blue,az
12495,2010,mercedes-benz,e-class,,,gas,85895,clean,automatic,,coupe,black,az
42900,2008,,Porsche 911,,6 cylinders,gas,51077,,manual,,convertible,silver,az
4250,2003,mitsubishi,eclipse,good,4 cylinders,gas,172000,clean,automatic,compact,convertible,white,or
3000,2003,ford,mustang,excellent,6 cylinders,gas,159000,clean,automatic,compact,coupe,black,al
7500,1999,mercedes-benz,slk230 kompressor,like new,4 cylinders,gas,80000,clean,manual,,convertible,red,az
13499,2016,hyundai,veloster,excellent,4 cylinders,gas,64000,clean,automatic,compact,coupe,silver,az
28700,2016,ford,mustang gt premium coupe 2d,good,8 cylinders,gas,9844,clean,other,,coupe,white,fl
19000,2013,chevrolet,camaro 2ss,excellent,8 cylinders,gas,77000,clean,automatic,mid-size,convertible,grey,az
637,2018,chevrolet,corvette z51,,,gas,13000,clean,manual,,coupe,,fl
4999,2000,chevrolet,monte carlo ss,excellent,6 cylinders,gas,107161,rebuilt,automatic,,coupe,red,az
8900,1977,,1977 corvette,good,8 cylinders,gas,,clean,automatic,compact,coupe,white,nc
6500,2006,toyota,solara,excellent,6 cylinders,gas,67200,clean,automatic,mid-size,coupe,red,az
25990,2019,chevrolet,camaro lt coupe 2d,good,6 cylinders,gas,1576,clean,other,,coupe,black,fl
14995,2015,chevrolet,camaro,good,6 cylinders,gas,66570,clean,automatic,mid-size,coupe,red,tx
39597,2017,dodge,challenger,,,gas,14786,clean,manual,,coupe,red,sd
11897,2012,ford,mustang,,6 cylinders,gas,107620,clean,other,,coupe,grey,al
6599,2009,ford,mustang,excellent,6 cylinders,gas,133671,clean,automatic,mid-size,coupe,white,az
32500,2010,ford,mustang gt500,good,8 cylinders,gas,40489,clean,manual,full-size,coupe,black,fl
13990,2015,chevrolet,camaro,excellent,6 cylinders,other,49479,clean,manual,full-size,coupe,red,fl
5900,2015,fiat,500,like new,4 cylinders,gas,,rebuilt,automatic,,coupe,grey,fl
16900,2013,mercedes-benz,e350 coupe,like new,6 cylinders,gas,59493,clean,automatic,mid-size,coupe,white,az
25990,2013,bmw,335i,excellent,6 cylinders,gas,43772,clean,automatic,mid-size,convertible,blue,fl
16995,2010,mercedes-benz,slk class,excellent,6 cylinders,gas,65510,clean,automatic,mid-size,convertible,red,fl
19999,1995,chevrolet,camaro,like new,8 cylinders,gas,31450,clean,manual,mid-size,convertible,green,fl
8900,2006,pontiac,,like new,4 cylinders,gas,70500,clean,manual,compact,convertible,silver,or
9995,2006,mercedes-benz,clk class,excellent,8 cylinders,gas,82342,clean,automatic,full-size,convertible,white,fl
12500,2012,dodge,challenger sxt,good,6 cylinders,gas,121579,clean,automatic,full-size,coupe,white,al
20990,2013,bmw,3 series 335i coupe 2d,good,,gas,33270,clean,automatic,,coupe,white,fl
7400,2008,honda,accord,,,gas,117813,clean,automatic,,coupe,,or
25590,2010,mercedes-benz,cl-class cl 550,good,8 cylinders,gas,52803,clean,automatic,,coupe,grey,sc
15900,1965,ford,mustang convertible,good,8 cylinders,gas,60000,clean,manual,mid-size,convertible,black,fl
8600,2004,mercedes-benz,sl 500,excellent,,gas,117000,clean,automatic,,convertible,,fl
0,2012,lexus,is 350,like new,,gas,,clean,automatic,,convertible,,fl
6999,2012,honda,civic,,,gas,116010,clean,manual,compact,coupe,white,fl
23995,2015,dodge,challenger,,,gas,69197,clean,manual,,coupe,white,va
10000,1995,mercedes-benz,sl 500 roadster,excellent,8 cylinders,gas,,rebuilt,automatic,,convertible,,fl
6500,2004,bmw,z4 2.5i,excellent,6 cylinders,gas,106880,clean,automatic,,convertible,blue,or
11349,2007,jaguar,xk,,8 cylinders,gas,81855,clean,automatic,,convertible,white,az
2700,2007,chevrolet,cobalt ss,good,4 cylinders,gas,175000,clean,automatic,compact,coupe,red,fl
3988,2008,chevrolet,hhr ls,fair,4 cylinders,gas,147500,clean,automatic,compact,coupe,red,sd
7995,2011,honda,accord,excellent,4 cylinders,gas,114758,clean,manual,mid-size,coupe,silver,wi
5000,2012,toyota,,like new,4 cylinders,gas,125000,rebuilt,automatic,compact,coupe,silver,fl
3990,2009,mini,cooper clubman,excellent,4 cylinders,gas,139258,clean,automatic,sub-compact,coupe,green,me
23990,2019,ford,mustang ecoboost coupe 2d,good,,gas,10100,clean,other,,coupe,,fl
5995,2008,honda,civic,,,gas,159463,clean,automatic,sub-compact,coupe,silver,or
5500,1998,bmw,z3 convertible,good,6 cylinders,gas,61016,clean,manual,compact,convertible,black,fl
7100,2012,honda,civic ex coupe,good,4 cylinders,gas,48000,salvage,automatic,compact,coupe,white,sd
18000,2003,chevrolet,corvette,like new,8 cylinders,gas,67000,clean,automatic,,convertible,yellow,az
24990,2018,subaru,brz limited coupe 2d,good,,gas,12529,clean,other,,coupe,silver,wi
4500,2013,fiat,500c,excellent,4 cylinders,gas,107000,clean,manual,mid-size,convertible,white,fl
2700,2002,toyota,camry solara convertible,good,6 cylinders,gas,162000,clean,automatic,mid-size,convertible,black,fl
3900,2000,ford,mustang,excellent,8 cylinders,gas,169500,clean,automatic,mid-size,convertible,red,az
16995,2007,ford,mustang gt premium,excellent,8 cylinders,gas,35357,clean,automatic,,coupe,black,az
6295,2010,,Smart fortwo,excellent,3 cylinders,gas,37452,clean,automatic,,coupe,white,az
16900,1981,chevrolet,camaro,excellent,,gas,82000,clean,automatic,,coupe,blue,nc
99,2007,ford,mustang,,,gas,126813,clean,automatic,full-size,coupe,red,me
16500,1974,,Triumph TR6,excellent,6 cylinders,gas,58000,clean,manual,,convertible,green,me
10500,2012,honda,civic si coupe,excellent,4 cylinders,gas,94000,salvage,manual,,coupe,black,az
4500,2012,honda,accord,good,,gas,137000,rebuilt,automatic,,coupe,black,wi
6000,2008,nissan,altima s,excellent,4 cylinders,gas,119000,lien,automatic,mid-size,coupe,red,sd
2250,2008,chevrolet,cobalt,fair,,gas,156410,clean,automatic,mid-size,coupe,red,sd
3700,2008,pontiac,grand prix,good,6 cylinders,gas,113886,clean,automatic,full-size,coupe,white,sd
4695,2004,mazda,rx-8,excellent,4 cylinders,gas,113300,clean,automatic,,coupe,silver,nc
9600,2010,hyundai,genesis 3.8l,like new,6 cylinders,gas,61,clean,automatic,,coupe,black,az
29919,2005,,Maserati Spyder,,8 cylinders,gas,28845,clean,automatic,,convertible,blue,az
19919,2014,mercedes-benz,e 350,,6 cylinders,gas,64452,clean,automatic,,convertible,black,az
6750,2008,ford,mustang,good,6 cylinders,gas,74865,clean,automatic,compact,convertible,black,fl
13900,2013,mercedes-benz,benz c 250 coupe sport,excellent,,gas,69000,clean,automatic,,coupe,grey,fl
4500,1987,toyota,mr2,good,4 cylinders,gas,81000,clean,manual,compact,coupe,red,fl
7919,2007,volvo,c70,,5 cylinders,gas,92890,clean,automatic,,convertible,blue,az
24999,2016,mercedes-benz,e-class,excellent,,gas,22472,clean,automatic,,coupe,silver,fl
10919,1978,volkswagen,super beetle,,4 cylinders,other,13011,clean,manual,,convertible,red,az
20000,2000,bmw,z3 coupe,like new,6 cylinders,gas,159000,clean,manual,compact,coupe,blue,fl
5995,2007,honda,civic,,,gas,108740,clean,automatic,sub-compact,coupe,silver,or
15900,2011,infiniti,g g37 convertible 2d,good,6 cylinders,gas,92013,clean,manual,,convertible,black,sc
45000,1968,,vy Camaro,excellent,8 cylinders,gas,,clean,manual,,coupe,black,fl
3595,2004,bmw,3-series,excellent,6 cylinders,gas,189509,clean,automatic,sub-compact,coupe,,or
3595,2004,toyota,camry solara,excellent,6 cylinders,gas,192655,clean,automatic,mid-size,coupe,,or
9950,2003,lexus,sc 430 convertible,excellent,8 cylinders,gas,130,clean,automatic,,convertible,,or
900,1998,,1998 Mitzi Eclipse Spyd,salvage,4 cylinders,gas,138535,salvage,manual,compact,convertible,red,fl
12000,1931,ford,2 door voupe,fair,4 cylinders,gas,,missing,manual,mid-size,coupe,black,me
10990,1998,chevrolet,corvette,excellent,8 cylinders,gas,71000,clean,automatic,compact,coupe,red,sc
19990,2012,audi,s5 quattro coupe 2d,good,8 cylinders,gas,79875,clean,automatic,,coupe,blue,sc
15990,2015,honda,civic ex coupe 2d,good,,other,31723,clean,automatic,,coupe,grey,fl
6500,2009,mini,cooper s convertible,good,4 cylinders,gas,134831,clean,manual,compact,convertible,yellow,or
5250,2008,mini,cooper s,excellent,4 cylinders,gas,133718,clean,automatic,compact,coupe,silver,or
15000,1966,,oldsmobile cutlass,good,8 cylinders,gas,60326,clean,automatic,full-size,coupe,,sd
26950,2011,dodge,challenger,excellent,8 cylinders,gas,,clean,manual,mid-size,coupe,,az
19500,2004,cadillac,xlr,good,8 cylinders,gas,38500,clean,automatic,,convertible,silver,me
43000,1991,acura,nsx,excellent,6 cylinders,gas,18000,clean,manual,,coupe,black,sd
17900,2015,bmw,4 series 428i coupe 2d,good,,gas,85152,clean,automatic,,coupe,blue,fl
14900,2016,hyundai,veloster coupe 3d,good,,gas,39430,clean,automatic,,coupe,orange,fl
23500,1958,chevrolet,biscayne (impala),excellent,8 cylinders,gas,,clean,automatic,full-size,coupe,red,sd
11995,2016,toyota,camry,excellent,4 cylinders,gas,85300,lien,automatic,mid-size,coupe,silver,sd
17790,2017,ford,mustang v6 coupe 2d,good,6 cylinders,gas,40572,clean,other,,coupe,red,fl
14570,2014,audi,a5 coupe,,4 cylinders,gas,69340,clean,automatic,,coupe,black,sd
9851,2016,,smart fortwo,,3 cylinders,gas,28782,clean,automatic,,coupe,red,az
13500,2013,bmw,1 series,,6 cylinders,gas,39530,clean,automatic,sub-compact,coupe,grey,ca
7800,1966,datsun,roadster,,4 cylinders,gas,17004,clean,manual,,convertible,silver,ca
143000,2020,mercedes-benz,s-class,,8 cylinders,gas,1463,clean,automatic,full-size,coupe,white,az
9000,2013,honda,crz,excellent,4 cylinders,hybrid,55000,clean,automatic,,coupe,grey,ca
22900,2017,chevrolet,camaro lt coupe 2d,good,6 cylinders,gas,28341,clean,other,,coupe,silver,fl
84500,1964,jaguar,"xke, e-type",like new,6 cylinders,gas,42500,clean,manual,,coupe,blue,wi
5995,1995,mercedes-benz,sl500,excellent,8 cylinders,gas,,clean,automatic,mid-size,convertible,green,fl
69980,1949,cadillac,coupe de ville,,,gas,48320,clean,automatic,,coupe,custom,fl
8000,2016,,Scion tC,excellent,other,gas,45070,rebuilt,automatic,,coupe,white,fl
5000,1990,mazda,miata mx 5,excellent,4 cylinders,gas,,clean,manual,compact,convertible,red,fl
13995,2017,hyundai,veloster,,4 cylinders,gas,19299,clean,other,,coupe,black,or
6500,2004,subaru,impreza wrx,good,4 cylinders,gas,193000,clean,manual,,coupe,blue,ca
16995,2017,ford,mustang fastback,excellent,6 cylinders,gas,32944,clean,automatic,compact,coupe,grey,fl
16000,1942,dodge,d22,excellent,6 cylinders,gas,18000,clean,manual,full-size,coupe,black,fl
47900,2015,chevrolet,corvette convertible,excellent,8 cylinders,gas,17000,clean,automatic,,convertible,blue,nc
26990,2012,dodge,challenger srt8 392 coupe,good,8 cylinders,gas,29664,clean,other,,coupe,red,fl
25900,1965,ford,mustang,excellent,8 cylinders,gas,55000,clean,automatic,,coupe,,nc
17590,2015,ford,mustang ecoboost coupe 2d,good,,gas,43581,clean,other,,coupe,red,sc
1800,1963,chevrolet,corvair spyder,fair,6 cylinders,gas,,clean,manual,mid-size,coupe,red,or
3200,1977,volkswagen,beetle,fair,4 cylinders,gas,,clean,manual,compact,convertible,white,fl
21000,2017,chevrolet,camaro 1le,like new,6 cylinders,gas,25781,lien,automatic,compact,coupe,blue,fl
4000,1977,toyota,celica,good,4 cylinders,gas,41000,clean,automatic,,coupe,white,az
13500,1972,volkswagen,beetle,,,gas,,clean,manual,,coupe,orange,fl
8995,2004,pontiac,gto,good,8 cylinders,gas,108511,clean,automatic,,coupe,silver,wi
22999,2017,ford,mustang,excellent,,gas,33544,clean,automatic,,coupe,white,ca
0,2013,honda,accord,excellent,6 cylinders,gas,85650,clean,automatic,full-size,coupe,red,ca
9000,2013,chrysler,200,excellent,6 cylinders,gas,56857,clean,automatic,compact,convertible,silver,sc
22995,2018,chevrolet,camaro lt,like new,4 cylinders,gas,8476,clean,automatic,,coupe,silver,ca
10245,2011,bmw,128i,,,gas,75571,clean,,sub-compact,coupe,,or
12590,2013,hyundai,veloster turbo coupe 3d,good,,gas,66615,clean,automatic,,coupe,orange,fl
6995,2013,honda,accord,good,6 cylinders,gas,187000,clean,automatic,sub-compact,coupe,black,az
6892,2007,volkswagen,eos 2.0t,excellent,4 cylinders,gas,79616,clean,automatic,compact,convertible,blue,mt
13690,2012,honda,accord ex-l coupe 2d,good,,gas,76888,clean,other,,coupe,black,va
19990,2017,ford,mustang ecoboost coupe 2d,good,,gas,6557,clean,other,,coupe,red,va
21900,2018,ford,mustang ecoboost coupe 2d,good,,gas,18173,clean,automatic,,coupe,grey,sc
3500,1986,ford,mustang convertible,good,6 cylinders,gas,95000,clean,automatic,compact,convertible,red,ny
2400,2006,honda,civic ex coupe,excellent,4 cylinders,gas,185813,clean,manual,compact,coupe,red,va
24390,2020,ford,mustang ecoboost,like new,4 cylinders,gas,1400,clean,automatic,compact,convertible,red,fl
12995,2016,subaru,brz premium,excellent,4 cylinders,gas,23705,salvage,manual,,coupe,white,sc
10495,2013,hyundai,genesis coupe 2.0t,excellent,4 cylinders,gas,43123,salvage,automatic,,coupe,black,sc
3500,1986,,olds cutlass,good,8 cylinders,gas,37768,clean,automatic,mid-size,coupe,custom,ny
5500,2007,honda,civic,excellent,4 cylinders,gas,,clean,automatic,,coupe,black,ca
6500,2006,nissan,350z,good,6 cylinders,gas,98000,clean,manual,,convertible,silver,sc
0,2017,mercedes-benz,c-class,,8 cylinders,gas,14228,clean,automatic,,coupe,blue,va
4995,2010,honda,accord,,4 cylinders,gas,186642,clean,automatic,,coupe,silver,wi
6000,2012,mini,cooper,excellent,4 cylinders,gas,5000000,clean,automatic,compact,coupe,brown,md
1500,1987,cadillac,allante,fair,8 cylinders,gas,161000,clean,automatic,,convertible,silver,mt
5490,2007,honda,civic,good,4 cylinders,gas,155218,clean,manual,mid-size,coupe,black,fl
9800,2011,,2011 camaro rs,excellent,6 cylinders,gas,98000,clean,automatic,mid-size,coupe,red,fl
23590,2014,nissan,370z touring coupe 2d,good,6 cylinders,gas,9479,clean,automatic,,coupe,white,fl
3495,2004,,chysler sebring,good,6 cylinders,gas,112000,clean,automatic,,convertible,red,me
99,1987,mercedes-benz,500-class,,,gas,56649,clean,automatic,full-size,convertible,silver,me
4000,2006,infiniti,g35 coupe,good,6 cylinders,gas,152000,clean,automatic,,coupe,black,ca
10000,1993,,Corvette/convertible 1993,excellent,8 cylinders,gas,64000,clean,automatic,full-size,convertible,custom,ca
10000,1993,,Corvette/convertible 1993,excellent,8 cylinders,gas,64000,clean,automatic,full-size,convertible,custom,ca
1500,2001,ford,mustang,good,6 cylinders,gas,200000,clean,automatic,mid-size,convertible,red,fl
12500,1993,chevrolet,corvette,excellent,8 cylinders,gas,,clean,automatic,,coupe,,ny
24990,2019,honda,civic si coupe 2d,good,,gas,3171,clean,other,,coupe,silver,fl
29880,2006,,porsche 911,excellent,6 cylinders,gas,83700,clean,manual,compact,convertible,black,sc
13900,1990,mercedes-benz,300sl convertible,excellent,8 cylinders,gas,108500,clean,automatic,mid-size,convertible,black,wi
11977,2005,ford,mustang gt premium,good,8 cylinders,gas,71000,clean,automatic,,convertible,red,wi
34900,1981,,1981 DMC DeLorean,excellent,6 cylinders,gas,45000,clean,manual,compact,coupe,silver,wi
10100,2008,ford,mustang,,,gas,96078,clean,automatic,sub-compact,coupe,white,va
5800,2010,honda,civic,excellent,4 cylinders,gas,108000,clean,automatic,,coupe,black,ca
5800,2007,ford,mustang,excellent,6 cylinders,gas,155000,clean,automatic,mid-size,coupe,grey,tx
850,2003,volkswagen,beetle,fair,4 cylinders,gas,80000,clean,automatic,compact,convertible,yellow,tx
1,2016,dodge,challenger,excellent,10 cylinders,gas,52700,clean,other,mid-size,coupe,custom,fl
1,2015,mercedes-benz,cls-class,excellent,10 cylinders,gas,47757,clean,other,mid-size,coupe,white,fl
28700,2010,,PORSCHE   CAYMAN  S  ONLY 37K,excellent,6 cylinders,gas,37700,clean,automatic,mid-size,coupe,white,fl
32791,2014,mercedes-benz,sl-class,,8 cylinders,gas,78809,clean,automatic,,convertible,black,tx
4500,2012,,scion tc,excellent,4 cylinders,gas,185000,salvage,automatic,,coupe,grey,sc
7000,1994,,1994 corvette,excellent,8 cylinders,gas,122000,clean,automatic,mid-size,coupe,white,ny
5900,2004,chrysler,crossfire,excellent,6 cylinders,gas,83000,clean,manual,mid-size,coupe,black,sc
4900,2004,ford,mustang,good,6 cylinders,gas,,clean,automatic,,convertible,silver,sc
13900,1995,,1995 C-4 Corvette,excellent,8 cylinders,gas,48000,clean,automatic,compact,coupe,blue,wi
8900,2008,audi,tt 2.0l 98k turbo,excellent,4 cylinders,gas,98000,clean,automatic,mid-size,convertible,,fl
286,2017,chevrolet,camaro,,6 cylinders,gas,,clean,automatic,,coupe,black,wi
14900,2011,lexus,is250 c,excellent,6 cylinders,gas,90000,clean,automatic,,convertible,grey,sc
0,2012,chevrolet,corvette,,8 cylinders,gas,27081,clean,automatic,,convertible,silver,sc
18400,2017,ford,mustang ecoboost premium,good,,gas,66222,clean,automatic,,convertible,black,fl
26500,1979,pontiac,trans am,excellent,8 cylinders,gas,,clean,manual,mid-size,coupe,blue,tn
3990,2010,,SCION TC,,4 cylinders,gas,152837,clean,automatic,,coupe,white,me
16990,2017,honda,civic lx-p coupe 2d,good,,gas,30401,clean,automatic,,coupe,black,fl
12900,1979,,1979 corvette,excellent,8 cylinders,gas,,clean,manual,compact,coupe,brown,wi
16990,2011,bmw,3 series 328i convertible 2d,good,,other,34578,clean,automatic,,convertible,silver,fl
5500,2005,mercedes-benz,benz e320,good,6 cylinders,gas,150000,clean,automatic,mid-size,coupe,black,mt
14500,2012,mini,cooper jcw,like new,4 cylinders,gas,37125,clean,manual,sub-compact,coupe,black,sc
8985,2003,toyota,mr2 spyder,excellent,4 cylinders,gas,95950,clean,manual,compact,convertible,green,sc
6900,2008,mazda,miata,,,gas,,rebuilt,automatic,,convertible,,tn
24500,2008,ford,mustang,excellent,8 cylinders,gas,52000,clean,automatic,,coupe,blue,ca
0,2013,hyundai,veloster,,,gas,46102,clean,automatic,compact,coupe,silver,va
8990,2013,hyundai,genesis coupe,good,6 cylinders,gas,138701,clean,other,mid-size,coupe,white,fl
7999,2011,honda,civic,excellent,4 cylinders,gas,139273,clean,automatic,,coupe,grey,az
23990,2014,bmw,2 series m235i coupe 2d,good,,gas,47188,clean,other,,coupe,red,va
3595,2001,honda,civic,,,gas,119853,clean,manual,compact,coupe,,va
99,2015,bmw,2 series,,,gas,46671,clean,automatic,full-size,coupe,blue,me
13499,1998,ford,mustang cobra convertible,excellent,8 cylinders,gas,67200,clean,manual,,convertible,yellow,fl
10588,2009,nissan,370z,,6 cylinders,gas,136070,clean,automatic,,coupe,silver,sc
13500,2013,audi,a5,good,,gas,73000,clean,automatic,,convertible,,me
99,2018,audi,s5,,,gas,19092,clean,automatic,full-size,coupe,,me
23990,2014,ford,mustang gt coupe 2d,good,8 cylinders,gas,32013,clean,other,,coupe,grey,va
10000,1971,volkswagen,beetle replicar,excellent,4 cylinders,gas,3000,clean,manual,compact,convertible,brown,md
27990,2015,lexus,rc 350 coupe 2d,good,6 cylinders,gas,51455,clean,other,,coupe,black,fl
12590,2015,,Scion tC Hatchback Coupe 2D,good,,other,79529,clean,other,,coupe,red,fl
19500,1960,,austin healey sprite,excellent,4 cylinders,gas,,clean,manual,,convertible,,tn
12800,2014,audi,a5 quattro premium plus 2dr,excellent,4 cylinders,gas,31300,rebuilt,automatic,mid-size,coupe,black,wi
7000,2004,nissan,350z,good,6 cylinders,gas,112000,clean,manual,,coupe,custom,fl
8950,2005,jeep,wrangler sport,excellent,6 cylinders,gas,129000,clean,automatic,,convertible,blue,me
3000,2004,volkswagen,beetle convertible,good,4 cylinders,gas,118300,clean,manual,compact,convertible,yellow,az
4200,2008,honda,civic,good,4 cylinders,gas,150000,clean,automatic,mid-size,coupe,black,sc
12990,2014,fiat,500c gq edition cabriolet,good,,gas,42424,clean,other,,convertible,white,fl
4400,2015,chevrolet,spark l.t.,like new,4 cylinders,gas,86000,clean,automatic,compact,coupe,red,sc
6900,2012,bmw,128i 1-series coupe,excellent,6 cylinders,gas,130726,clean,automatic,mid-size,coupe,silver,sc
3900,2003,,saab 9-3,excellent,4 cylinders,gas,55909,clean,automatic,mid-size,convertible,silver,sc
8995,2011,honda,cr,like new,4 cylinders,gas,,clean,automatic,mid-size,coupe,white,me
21000,2004,chevrolet,ssr,excellent,8 cylinders,gas,,clean,automatic,,convertible,custom,ca
0,2015,dodge,challenger,excellent,8 cylinders,gas,15907,clean,manual,compact,coupe,,tx
12000,1989,bmw,325i,good,6 cylinders,gas,,clean,manual,,coupe,blue,va
